Id;RÃ©fÃ©rence;BoÃ®tier;QuantitÃ©;DÃ©signation;Supplier;supplier part;Imax;Vmax;Pmax;commentaires;quantité (4 cartes);;LCSC;MOUSER;FUTURE ELECTRONICS
1;U18,U9,U6,U7,U8,U10,U12,U15,U16,U17,U19,U21,U24,U25,U26,U27;Relay_SPDT_SANYOU_SRD_Series_Form_C;16;Relay;LCSC;C30431;;;;;64;ok;22 articles;11 articles;1article
2;J19,J20,J21,J22,J23,J24,J25,J26;P-2060-402998-404;8;Conn_02x02_Counter_Clockwise;future electronics;;;;;;32;;;;
3;U33;switch;1;switch;LCSC;C83206;;;;;4;ok;;;
4;C29,C30;CP_Radial_D8.0mm_P3.50mm;2;330u;LCSC;C399165;;8V/20V;;;8;ok;;;
5;C31,C32,C26,C27;CP_Radial_D8.0mm_P3.50mm;4;100u;LCSC;C442932;;8V/20V/20V/60V;;;16;ok;;;
6;D1,D2,D3,D7,D8,D9,D13,D14,D15,D19,D20,D21,D25,D26,D29,D30;D_SMC;16;S10JC;LCSC;C382938;Imax moteur;> 48V;;;64;ok;;;
7;D4,D5,D6,D10,D11,D12,D16,D17,D18,D22,D23,D24,D27,D28,D31,D32;D_SMA;16;M1;LCSC;C181129;Imax relay;> 12V;;;64;ok;;;
8;D33,D34;D_SMC;2;SS3H10;LCSC;C467998;500mA/1A;20V/60V;;;8;ok;;;
9;J1,J2;hole;2;Conn_01x01;XXX;XXX;;;;;8;XXX;;;
10;J3,J4,J5,J6,J7,J8,J9,J10,J11,J15,J16,J17;Hirose_DF13C-03P-1.25V_03x1.25mm_Straight;12;Conn_01x03;LCSC;C52735;;;;;48;ok;;;
11;J12,J13,J14;Hirose_DF13C-04P-1.25V_04x1.25mm_Straight;3;Conn_01x04;LCSC;C47608;;;;;12;ok;;;
12;J18;Hirose_DF13C-08P-1.25V_08x1.25mm_Straight;1;Conn_01x08;LCSC;C53040;;;;;4;ok;;;
13;Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q31,Q32;SOT-23;24;SS8050;LCSC;C181160;;;;;96;ok;;;
14;R20,R21,R22,R44,R45,R46,R64,R65;R_2512;8;0.02;LCSC;C105360;;;RI^2;;32;ok;;;
15;U1,U2,U3;ADM3488ARZ;3;R_8;MOUSER;584-ADM3488ARZ;;;;;12;ok;;;
16;U4;SOT-23;1;REF2925;LCSC;C81848;;;;;4;ok;;;
17;U5;STM32G070RBT6;1;LQFP-64;MOUSER;511-STM32G070RBT6;;;;;4;ok;;;
18;U11,U13,U14,U20,U22,U23,U28,U29;SOT-23-5;8;INA180;MOUSER;595-INA180A1QDBVRQ1;;;;;32;ok;;;
19;U30;SOT-23;1;TLV760;MOUSER;595-TLV76033DBZR;;;;;4;ok;;;
20;U31;TO-263-5_TabPin3;1;TL2575-33;MOUSER;595-TL2575-33IKTTR;;;;;4;ok;;;
21;U32;TO-263-5_TabPin3;1;TL2575HV-12;MOUSER;595-TL2575HV-12IKTTR;;;;;4;ok;;;
22;L1;12x12mm;1;220uH;MOUSER;673-P1170.224NLT;500mA;;;;4;ok;;;
23;L2;12x12mm;1;1mH;MOUSER;710-7447709102;1A;;;;4;ok;;;
24;L3,L4;5x5mm;2;20u;MOUSER;652-SRR4528A-220M;500mA/1A;;;;8;ok;;;
25;C1,C2,C3,C6,C8,C12,C13,C14,C18,C19,C20,C23,C24,C25,C28;C_0402;15;100n;LCSC;C169292;;8V;;;60;ok;;;
26;C4;C_0402;1;0.47u;LCSC;C338073;;8V;;;4;ok;;;
27;C5;C_0402;1;1u;LCSC;C307414;;8V;;;4;ok;;;
28;C7;C_0402;1;4.7u;LCSC;C342983;;8V;;;4;ok;;;
29;C9,C10,C11,C15,C16,C17,C21,C22;C_0402;8;DNP;XXX;XXX;;20V;;;32;XXX;;;
30;R1,R2,R3,R4,R5,R6;R_0402;6;120R;LCSC;C102779;;;0,063W ;;24;ok;;;
31;R7,R12,R14,R16,R36,R38,R40,R59,R61;R_0402;9;10k;LCSC;C327803;;;0,063W;;36;ok;;;
32;R8,R9,R10,R11,R13,R15,R27,R30,R31,R32,R33,R34,R35,R37,R39,R51,R54,R55,R56,R57,R58,R60,R70,R71;R_0402;24;3.9k;LCSC;C310259;;;0,063W;;96;ok;;;
33;R17,R18,R19,R41,R42,R43,R62,R63;R_0402;8;1R;LCSC;C168208;;;0,063W;;32;ok;;;
34;R23,R24,R25,R26,R28,R29,R47,R48,R49,R50,R52,R53,R66,R67,R68,R69;R_0402;16;0R;LCSC;C100568;;;0,063W;;64;ok;;;
35;Q7,Q8,Q9,Q19,Q20,Q21,Q29,Q30;LFPAK56_ThermalVias-1;8;PSMN028-100YS;MOUSER;771-PSMN028-100YS115;;;;;32;ok;;;
;LX?;12x12mm;1;680 uH;MOUSER;652-SRR1210A-681M;;;;bobine buck pour 36V;4;ok;;;
;FB2, FB1;1210;2;shunt/ferrite beads;MOUSER;855-S1731-46R;;;;;4;ok;;;
;R72, R73;R_0402;2;330R;LCSC;C427206;;;;;4;ok;;;
;D35, D36;D_0603;2;;LCSC;C72041;;;;;4;;;;
